time,dir,entry,exit,result
2026-02-19 20:00:00+00:00,PUT,155.72000000000003,155.765,loss
2026-02-19 20:10:00+00:00,PUT,155.703,155.77700000000002,loss
2026-02-19 20:20:00+00:00,PUT,155.729,155.73200000000003,loss
2026-02-19 20:30:00+00:00,PUT,155.765,155.753,win
2026-02-19 20:40:00+00:00,PUT,155.77700000000002,155.717,win
2026-02-19 20:50:00+00:00,PUT,155.73200000000003,155.728,win
2026-02-19 21:00:00+00:00,CALL,155.753,155.68800000000002,loss
2026-02-19 21:10:00+00:00,CALL,155.717,155.66500000000002,loss
2026-02-19 21:20:00+00:00,CALL,155.728,155.638,loss
2026-02-19 21:30:00+00:00,CALL,155.68800000000002,155.65600000000003,loss
2026-02-19 21:40:00+00:00,CALL,155.66500000000002,155.65200000000002,loss
2026-02-19 21:50:00+00:00,CALL,155.638,155.572,loss
2026-02-19 22:00:00+00:00,CALL,155.65600000000003,155.572,loss
2026-02-19 22:10:00+00:00,CALL,155.65200000000002,155.561,loss
2026-02-19 22:20:00+00:00,CALL,155.572,155.60600000000002,win
2026-02-19 22:30:00+00:00,CALL,155.572,155.64700000000002,win
2026-02-19 22:40:00+00:00,CALL,155.561,155.62400000000002,win
2026-02-19 22:50:00+00:00,CALL,155.60600000000002,155.60500000000002,loss
2026-02-20 20:00:00+00:00,PUT,155.80800000000002,155.71900000000002,win
2026-02-20 20:10:00+00:00,PUT,155.73600000000002,155.67600000000002,win
2026-02-20 20:20:00+00:00,PUT,155.70100000000002,155.67600000000002,win
2026-02-20 20:30:00+00:00,PUT,155.71900000000002,155.716,win
2026-02-20 20:40:00+00:00,PUT,155.67600000000002,155.64800000000002,win
2026-02-20 20:50:00+00:00,PUT,155.67600000000002,155.63500000000002,win
2026-02-20 21:00:00+00:00,CALL,155.716,155.657,loss
2026-02-20 21:10:00+00:00,CALL,155.64800000000002,155.74,win
2026-02-20 21:20:00+00:00,CALL,155.63500000000002,155.693,win
2026-02-20 21:30:00+00:00,CALL,155.657,155.77300000000008,win
2026-02-20 21:40:00+00:00,CALL,155.74,155.88800000000012,win
2026-02-20 21:50:00+00:00,CALL,155.693,155.87400000000014,win
2026-02-22 22:00:00+00:00,CALL,155.77300000000008,155.88700000000014,win
2026-02-22 22:10:00+00:00,CALL,155.88800000000012,155.89300000000014,win
2026-02-22 22:20:00+00:00,CALL,155.87400000000014,155.91900000000015,win
2026-02-22 22:30:00+00:00,CALL,155.88700000000014,155.86300000000017,loss
2026-02-22 22:40:00+00:00,CALL,155.89300000000014,155.72800000000015,loss
2026-02-22 22:50:00+00:00,CALL,155.91900000000015,155.59200000000016,loss
2026-02-23 20:00:00+00:00,PUT,155.63400000000016,155.67700000000016,loss
2026-02-23 20:10:00+00:00,PUT,155.62400000000017,155.68500000000014,loss
2026-02-23 20:20:00+00:00,PUT,155.68800000000016,155.70500000000015,loss
2026-02-23 20:30:00+00:00,PUT,155.67700000000016,155.68800000000016,loss
2026-02-23 20:40:00+00:00,PUT,155.68500000000014,155.72300000000016,loss
2026-02-23 20:50:00+00:00,PUT,155.70500000000015,155.74700000000016,loss
2026-02-23 21:00:00+00:00,CALL,155.68800000000016,155.73400000000015,win
2026-02-23 21:10:00+00:00,CALL,155.72300000000016,155.72100000000017,loss
2026-02-23 21:20:00+00:00,CALL,155.74700000000016,155.71100000000015,loss
2026-02-23 21:30:00+00:00,CALL,155.73400000000015,155.69500000000016,loss
2026-02-23 21:40:00+00:00,CALL,155.72100000000017,155.67900000000023,loss
2026-02-23 21:50:00+00:00,CALL,155.71100000000015,155.67700000000025,loss
2026-02-23 22:00:00+00:00,CALL,155.69500000000016,155.69800000000023,win
2026-02-23 22:10:00+00:00,CALL,155.67900000000023,155.68100000000024,win
2026-02-23 22:20:00+00:00,CALL,155.67700000000025,155.68000000000023,win
2026-02-23 22:30:00+00:00,CALL,155.69800000000023,155.63800000000023,loss
2026-02-23 22:40:00+00:00,CALL,155.68100000000024,155.67400000000023,loss
2026-02-23 22:50:00+00:00,CALL,155.68000000000023,155.72900000000024,win
2026-02-24 20:00:00+00:00,PUT,156.88700000000023,156.88000000000022,win
2026-02-24 20:10:00+00:00,PUT,156.88000000000022,156.85600000000022,win
2026-02-24 20:20:00+00:00,PUT,156.8940000000002,156.90500000000023,loss
2026-02-24 20:30:00+00:00,PUT,156.88000000000022,156.9430000000002,loss
2026-02-24 20:40:00+00:00,PUT,156.85600000000022,156.9910000000002,loss
2026-02-24 20:50:00+00:00,PUT,156.90500000000023,156.9730000000002,loss
2026-02-24 21:00:00+00:00,CALL,156.9430000000002,156.99200000000022,win
2026-02-24 21:10:00+00:00,CALL,156.9910000000002,156.9670000000002,loss
2026-02-24 21:20:00+00:00,CALL,156.9730000000002,156.98700000000022,win
2026-02-24 21:30:00+00:00,CALL,156.99200000000022,156.8810000000002,loss
2026-02-24 21:40:00+00:00,CALL,156.9670000000002,156.8480000000002,loss
2026-02-24 21:50:00+00:00,CALL,156.98700000000022,156.9020000000002,loss
2026-02-24 22:00:00+00:00,CALL,156.8810000000002,156.8660000000002,loss
2026-02-24 22:10:00+00:00,CALL,156.8480000000002,156.87100000000018,win
2026-02-24 22:20:00+00:00,CALL,156.9020000000002,156.8210000000002,loss
2026-02-24 22:30:00+00:00,CALL,156.8660000000002,156.85300000000018,loss
2026-02-24 22:40:00+00:00,CALL,156.87100000000018,156.9450000000002,win
2026-02-24 22:50:00+00:00,CALL,156.8210000000002,156.91900000000018,win
2026-02-25 20:00:00+00:00,PUT,157.46500000000017,157.39600000000016,win
2026-02-25 20:10:00+00:00,PUT,157.45600000000016,157.43900000000016,win
2026-02-25 20:20:00+00:00,PUT,157.43300000000016,157.49700000000016,loss
2026-02-25 20:30:00+00:00,PUT,157.39600000000016,157.47900000000016,loss
2026-02-25 20:40:00+00:00,PUT,157.43900000000016,157.49400000000017,loss
2026-02-25 20:50:00+00:00,PUT,157.49700000000016,157.50800000000015,loss
2026-02-25 21:00:00+00:00,CALL,157.47900000000016,157.48400000000015,win
2026-02-25 21:10:00+00:00,CALL,157.49400000000017,157.44200000000015,loss
2026-02-25 21:20:00+00:00,CALL,157.50800000000015,157.43900000000016,loss
2026-02-25 21:30:00+00:00,CALL,157.48400000000015,157.43600000000018,loss
2026-02-25 21:40:00+00:00,CALL,157.44200000000015,157.41100000000017,loss
2026-02-25 21:50:00+00:00,CALL,157.43900000000016,157.40500000000017,loss
2026-02-25 22:00:00+00:00,CALL,157.43600000000018,157.33500000000015,loss
2026-02-25 22:10:00+00:00,CALL,157.41100000000017,157.38400000000016,loss
2026-02-25 22:20:00+00:00,CALL,157.40500000000017,157.38800000000015,loss
2026-02-25 22:30:00+00:00,CALL,157.33500000000015,157.35400000000016,win
2026-02-25 22:40:00+00:00,CALL,157.38400000000016,157.38100000000017,loss
2026-02-25 22:50:00+00:00,CALL,157.38800000000015,157.29200000000017,loss
2026-02-26 20:00:00+00:00,PUT,157.21500000000012,157.19200000000012,win
2026-02-26 20:10:00+00:00,PUT,157.19900000000013,157.15700000000012,win
2026-02-26 20:20:00+00:00,PUT,157.17600000000013,157.15800000000013,win
2026-02-26 20:30:00+00:00,PUT,157.19200000000012,157.20900000000012,loss
2026-02-26 20:40:00+00:00,PUT,157.15700000000012,157.22100000000012,loss
2026-02-26 20:50:00+00:00,PUT,157.15800000000013,157.21500000000012,loss
2026-02-26 21:00:00+00:00,CALL,157.20900000000012,157.15700000000012,loss
2026-02-26 21:10:00+00:00,CALL,157.22100000000012,157.17000000000013,loss
2026-02-26 21:20:00+00:00,CALL,157.21500000000012,157.17800000000014,loss
2026-02-26 21:30:00+00:00,CALL,157.15700000000012,157.25300000000013,win
2026-02-26 21:40:00+00:00,CALL,157.17000000000013,157.1890000000001,win
2026-02-26 21:50:00+00:00,CALL,157.17800000000014,157.16300000000012,loss
2026-02-26 22:00:00+00:00,CALL,157.25300000000013,157.17300000000012,loss
2026-02-26 22:10:00+00:00,CALL,157.1890000000001,157.2260000000001,win
2026-02-26 22:20:00+00:00,CALL,157.16300000000012,157.2200000000001,win
2026-02-26 22:30:00+00:00,CALL,157.17300000000012,157.12300000000013,loss
2026-02-26 22:40:00+00:00,CALL,157.2260000000001,157.1250000000001,loss
2026-02-26 22:50:00+00:00,CALL,157.2200000000001,157.17500000000013,loss
2026-02-27 20:00:00+00:00,PUT,157.1500000000001,157.1540000000001,loss
2026-02-27 20:10:00+00:00,PUT,157.1790000000001,157.1750000000001,win
2026-02-27 20:20:00+00:00,PUT,157.2240000000001,157.2160000000001,win
2026-02-27 20:30:00+00:00,PUT,157.1540000000001,157.3500000000001,loss
2026-02-27 20:40:00+00:00,PUT,157.1750000000001,157.33300000000008,loss
2026-02-27 20:50:00+00:00,PUT,157.2160000000001,157.2680000000001,loss
2026-02-27 21:00:00+00:00,CALL,157.3500000000001,157.2700000000001,loss
2026-02-27 21:10:00+00:00,CALL,157.33300000000008,157.35700000000008,win
2026-02-27 21:20:00+00:00,CALL,157.2680000000001,157.2720000000001,win
2026-02-27 21:30:00+00:00,CALL,157.2700000000001,157.4810000000001,win
2026-02-27 21:40:00+00:00,CALL,157.35700000000008,157.6200000000001,win
2026-02-27 21:50:00+00:00,CALL,157.2720000000001,157.67200000000008,win
2026-03-01 22:00:00+00:00,CALL,157.4810000000001,157.6000000000001,win
2026-03-01 22:10:00+00:00,CALL,157.6200000000001,157.52900000000008,loss
2026-03-01 22:20:00+00:00,CALL,157.67200000000008,157.4830000000001,loss
2026-03-01 22:30:00+00:00,CALL,157.6000000000001,157.63100000000009,win
